"","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype","description"
"GCDH","GCDH","ENSG00000105607",2639,"protein_coding","glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]"
"GCG","GCG","ENSG00000115263",2641,"protein_coding","glucagon [Source:HGNC Symbol;Acc:HGNC:4191]"
"GCGR","GCGR","ENSG00000288269",2642,"protein_coding","glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]"
"GCH1","GCH1","ENSG00000131979",2643,"protein_coding","GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]"
"GCHFR","GCHFR","ENSG00000137880",2644,"protein_coding","GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]"
"GCK","GCK","ENSG00000106633",2645,"protein_coding","glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]"
"GCKR","GCKR","ENSG00000084734",2646,"protein_coding","glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]"
"BLOC1S1","BLOC1S1","ENSG00000135441",2647,"protein_coding","biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]"
"KAT2A","KAT2A","ENSG00000108773",2648,"protein_coding","lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]"
"NR6A1","NR6A1","ENSG00000148200",2649,"protein_coding","nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]"
"GCNT1","GCNT1","ENSG00000187210",2650,"protein_coding","glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]"
"GCNT2","GCNT2","ENSG00000285222",2651,"protein_coding","glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]"
"OPN1MW","OPN1MW","ENSG00000268221",2652,"protein_coding","opsin 1, medium wave sensitive [Source:HGNC Symbol;Acc:HGNC:4206]"
"GCSH","GCSH","ENSG00000140905",2653,"protein_coding","glycine cleavage system protein H [Source:HGNC Symbol;Acc:HGNC:4208]"
"GDF1","GDF1","ENSG00000130283",2657,"protein_coding","growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]"
"GDF2","GDF2","ENSG00000263761",2658,"protein_coding","growth differentiation factor 2 [Source:HGNC Symbol;Acc:HGNC:4217]"
"MSTN","MSTN","ENSG00000138379",2660,"protein_coding","myostatin [Source:HGNC Symbol;Acc:HGNC:4223]"
"GDF9","GDF9","ENSG00000164404",2661,"protein_coding","growth differentiation factor 9 [Source:HGNC Symbol;Acc:HGNC:4224]"
"GDF10","GDF10","ENSG00000266524",2662,"protein_coding","growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]"
"GDI1","GDI1","ENSG00000203879",2664,"protein_coding","GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]"
"GDI2","GDI2","ENSG00000057608",2665,"protein_coding","GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]"
"GDNF","GDNF","ENSG00000168621",2668,"protein_coding","glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]"
"GEM","GEM","ENSG00000164949",2669,"protein_coding","GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]"
"GFAP","GFAP","ENSG00000131095",2670,"protein_coding","glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]"
"GFER","GFER","ENSG00000291944",2671,"protein_coding","growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]"
"GFI1","GFI1","ENSG00000162676",2672,"protein_coding","growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]"
"GFPT1","GFPT1","ENSG00000198380",2673,"protein_coding","glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"GFRA1","GFRA1","ENSG00000151892",2674,"protein_coding","GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]"
"GFRA2","GFRA2","ENSG00000168546",2675,"protein_coding","GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]"
"GFRA3","GFRA3","ENSG00000146013",2676,"protein_coding","GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]"
"GGCX","GGCX","ENSG00000115486",2677,"protein_coding","gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]"
"GGT1","GGT1","ENSG00000100031",2678,"protein_coding","gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]"
"GGT3P","GGT3P","ENSG00000197421",NA,"transcribed_unprocessed_pseudogene","gamma-glutamyltransferase 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:4252]"
"GGTA1P",NA,NA,NA,NA,NA
"B4GALT1","B4GALT1","ENSG00000086062",2683,"protein_coding","beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"
"GGT7","GGT7","ENSG00000131067",2686,"protein_coding","gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]"
"GGT5","GGT5","ENSG00000099998",2687,"protein_coding","gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]"
"GH1","GH1","ENSG00000259384",2688,"protein_coding","growth hormone 1 [Source:HGNC Symbol;Acc:HGNC:4261]"
"GH2","GH2","ENSG00000136487",2689,"protein_coding","growth hormone 2 [Source:HGNC Symbol;Acc:HGNC:4262]"
"GHR","GHR","ENSG00000112964",2690,"protein_coding","growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]"
"GHRH","GHRH","ENSG00000118702",2691,"protein_coding","growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]"
"GHRHR","GHRHR","ENSG00000106128",2692,"protein_coding","growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]"
"GHSR","GHSR","ENSG00000121853",2693,"protein_coding","growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:HGNC:4267]"
"CBLIF","CBLIF","ENSG00000134812",2694,"protein_coding","cobalamin binding intrinsic factor [Source:HGNC Symbol;Acc:HGNC:4268]"
"GIP","GIP","ENSG00000159224",2695,"protein_coding","gastric inhibitory polypeptide [Source:HGNC Symbol;Acc:HGNC:4270]"
"GIPR","GIPR","ENSG00000010310",2696,"protein_coding","gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]"
"GJA1","GJA1","ENSG00000152661",2697,"protein_coding","gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]"
"GJA3","GJA3","ENSG00000121743",2700,"protein_coding","gap junction protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:4277]"
"GJA4","GJA4","ENSG00000187513",2701,"protein_coding","gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]"
"GJA5","GJA5","ENSG00000265107",2702,"protein_coding","gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]"
"GJA8","GJA8","ENSG00000121634",2703,"protein_coding","gap junction protein alpha 8 [Source:HGNC Symbol;Acc:HGNC:4281]"
"GJB1","GJB1","ENSG00000169562",2705,"protein_coding","gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]"
"GJB2","GJB2","ENSG00000165474",2706,"protein_coding","gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]"
"GJB3","GJB3","ENSG00000188910",2707,"protein_coding","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]"
"GJB5","GJB5","ENSG00000189280",2709,"protein_coding","gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]"
"GK","GK","ENSG00000198814",2710,"protein_coding","glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]"
"GK2","GK2","ENSG00000196475",2712,"protein_coding","glycerol kinase 2 [Source:HGNC Symbol;Acc:HGNC:4291]"
"GLA","GLA","ENSG00000102393",2717,"protein_coding","galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]"
"GPC3","GPC3","ENSG00000147257",2719,"protein_coding","glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]"
"GLB1","GLB1","ENSG00000170266",2720,"protein_coding","galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]"
"GCLC","GCLC","ENSG00000001084",2729,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"GCLM","GCLM","ENSG00000023909",2730,"protein_coding","glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]"
"GLDC","GLDC","ENSG00000178445",2731,"protein_coding","glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]"
"GLE1","GLE1","ENSG00000119392",2733,"protein_coding","GLE1 RNA export mediator [Source:HGNC Symbol;Acc:HGNC:4315]"
"GLG1","GLG1","ENSG00000090863",2734,"protein_coding","golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]"
"GLI1","GLI1","ENSG00000111087",2735,"protein_coding","GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]"
"GLI2","GLI2","ENSG00000074047",2736,"protein_coding","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]"
"GLI3","GLI3","ENSG00000106571",2737,"protein_coding","GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]"
"GLI4","GLI4","ENSG00000250571",2738,"protein_coding","GLI family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:4320]"
"GLO1","GLO1","ENSG00000124767",2739,"protein_coding","glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]"
"GLP1R","GLP1R","ENSG00000112164",2740,"protein_coding","glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]"
"GLRA1","GLRA1","ENSG00000145888",2741,"protein_coding","glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]"
"GLRA2","GLRA2","ENSG00000101958",2742,"protein_coding","glycine receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4327]"
"GLRB","GLRB","ENSG00000109738",2743,"protein_coding","glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]"
"GLS","GLS","ENSG00000115419",2744,"protein_coding","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]"
"GLRX","GLRX","ENSG00000173221",2745,"protein_coding","glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]"
"GLUD1","GLUD1","ENSG00000148672",2746,"protein_coding","glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]"
"GLUD2","GLUD2","ENSG00000182890",2747,"protein_coding","glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]"
"GLUL","GLUL","ENSG00000135821",2752,"protein_coding","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"GM2A","GM2A","ENSG00000196743",2760,"protein_coding","ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]"
"GMDS","GMDS","ENSG00000112699",2762,"protein_coding","GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]"
"GMFB","GMFB","ENSG00000197045",2764,"protein_coding","glia maturation factor beta [Source:HGNC Symbol;Acc:HGNC:4373]"
"GML","GML","ENSG00000104499",2765,"protein_coding","glycosylphosphatidylinositol anchored molecule like [Source:HGNC Symbol;Acc:HGNC:4375]"
"GMPR","GMPR","ENSG00000137198",2766,"protein_coding","guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]"
"GNA11","GNA11","ENSG00000088256",2767,"protein_coding","G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379]"
"GNA12","GNA12","ENSG00000146535",2768,"protein_coding","G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]"
"GNA15","GNA15","ENSG00000060558",2769,"protein_coding","G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]"
"GNAI1","GNAI1","ENSG00000127955",2770,"protein_coding","G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]"
"GNAI2","GNAI2","ENSG00000114353",2771,"protein_coding","G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]"
"GNAI3","GNAI3","ENSG00000065135",2773,"protein_coding","G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]"
"GNAL","GNAL","ENSG00000141404",2774,"protein_coding","G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]"
"GNAO1","GNAO1","ENSG00000087258",2775,"protein_coding","G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]"
"GNAQ","GNAQ","ENSG00000156052",2776,"protein_coding","G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]"
"GNAS","GNAS","ENSG00000087460",2778,"protein_coding","GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]"
"GNAT1","GNAT1","ENSG00000114349",2779,"protein_coding","G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393]"
"GNAT2","GNAT2","ENSG00000134183",2780,"protein_coding","G protein subunit alpha transducin 2 [Source:HGNC Symbol;Acc:HGNC:4394]"
"GNAZ","GNAZ","ENSG00000128266",2781,"protein_coding","G protein subunit alpha z [Source:HGNC Symbol;Acc:HGNC:4395]"
"GNB1","GNB1","ENSG00000078369",2782,"protein_coding","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]"
"GNB2","GNB2","ENSG00000172354",2783,"protein_coding","G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]"
"GNB3","GNB3","ENSG00000111664",2784,"protein_coding","G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]"
"GNG3","GNG3","ENSG00000162188",2785,"protein_coding","G protein subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:4405]"
"GNG4","GNG4","ENSG00000168243",2786,"protein_coding","G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]"
"GNG5","GNG5","ENSG00000174021",2787,"protein_coding","G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]"
"GNG7","GNG7","ENSG00000176533",2788,"protein_coding","G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]"
"GNG10","GNG10","ENSG00000242616",2790,"protein_coding","G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]"
"GNG11","GNG11","ENSG00000127920",2791,"protein_coding","G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]"
"GNGT1","GNGT1","ENSG00000127928",2792,"protein_coding","G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]"
"GNGT2","GNGT2","ENSG00000167083",2793,"protein_coding","G protein subunit gamma transducin 2 [Source:HGNC Symbol;Acc:HGNC:4412]"
"GNL1","GNL1","ENSG00000204590",2794,"protein_coding","G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]"
"GNRH1","GNRH1","ENSG00000147437",2796,"protein_coding","gonadotropin releasing hormone 1 [Source:HGNC Symbol;Acc:HGNC:4419]"
"GNRH2","GNRH2","ENSG00000125787",2797,"protein_coding","gonadotropin releasing hormone 2 [Source:HGNC Symbol;Acc:HGNC:4420]"
"GNRHR","GNRHR","ENSG00000109163",2798,"protein_coding","gonadotropin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4421]"
"GNS","GNS","ENSG00000135677",2799,"protein_coding","glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]"
"GOLGA1","GOLGA1","ENSG00000136935",2800,"protein_coding","golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424]"
"GOLGA2","GOLGA2","ENSG00000167110",2801,"protein_coding","golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]"
"GOLGA3","GOLGA3","ENSG00000090615",2802,"protein_coding","golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]"
"GOLGA4","GOLGA4","ENSG00000144674",2803,"protein_coding","golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]"
"GOLGB1","GOLGB1","ENSG00000173230",2804,"protein_coding","golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]"
"GOT1","GOT1","ENSG00000120053",2805,"protein_coding","glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]"
"GOT2","GOT2","ENSG00000125166",2806,"protein_coding","glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]"
"SFN","SFN","ENSG00000175793",2810,"protein_coding","stratifin [Source:HGNC Symbol;Acc:HGNC:10773]"
"GP1BA","GP1BA","ENSG00000185245",2811,"protein_coding","glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]"
"GP2","GP2","ENSG00000169347",2813,"protein_coding","glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:4441]"
"GP9","GP9","ENSG00000169704",2815,"protein_coding","glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]"
"GPC1","GPC1","ENSG00000063660",2817,"protein_coding","glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]"
"GPD1","GPD1","ENSG00000167588",2819,"protein_coding","glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]"
"GPD2","GPD2","ENSG00000115159",2820,"protein_coding","glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]"
"GPI","GPI","ENSG00000105220",2821,"protein_coding","glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]"
"GPLD1","GPLD1","ENSG00000112293",2822,"protein_coding","glycosylphosphatidylinositol specific phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:4459]"
"GPM6A","GPM6A","ENSG00000150625",2823,"protein_coding","glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]"
"GPM6B","GPM6B","ENSG00000046653",2824,"protein_coding","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]"
"GPR1",NA,NA,NA,NA,NA
"CCR10","CCR10","ENSG00000184451",2826,"protein_coding","C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]"
"GPR3","GPR3","ENSG00000181773",2827,"protein_coding","G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]"
"GPR4","GPR4","ENSG00000177464",2828,"protein_coding","G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497]"
"XCR1","XCR1","ENSG00000173578",2829,"protein_coding","X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1625]"
"GPR6","GPR6","ENSG00000146360",2830,"protein_coding","G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]"
"NPBWR1","NPBWR1","ENSG00000288611",2831,"protein_coding","neuropeptides B and W receptor 1 [Source:HGNC Symbol;Acc:HGNC:4522]"
"NPBWR2","NPBWR2","ENSG00000125522",2832,"protein_coding","neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]"
"CXCR3","CXCR3","ENSG00000186810",2833,"protein_coding","C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]"
"PRLHR","PRLHR","ENSG00000119973",2834,"protein_coding","prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464]"
"GPR12","GPR12","ENSG00000132975",2835,"protein_coding","G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]"
"UTS2R","UTS2R","ENSG00000181408",2837,"protein_coding","urotensin 2 receptor [Source:HGNC Symbol;Acc:HGNC:4468]"
"GPR15","GPR15","ENSG00000154165",2838,"protein_coding","G protein-coupled receptor 15 [Source:HGNC Symbol;Acc:HGNC:4469]"
"GPR17","GPR17","ENSG00000144230",2840,"protein_coding","G protein-coupled receptor 17 [Source:HGNC Symbol;Acc:HGNC:4471]"
"GPR18","GPR18","ENSG00000125245",2841,"protein_coding","G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]"
"GPR19","GPR19","ENSG00000183150",2842,"protein_coding","G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473]"
"GPR20","GPR20","ENSG00000291465",2843,"protein_coding","G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]"
"GPR21","GPR21","ENSG00000188394",2844,"protein_coding","G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:HGNC:4476]"
"GPR22","GPR22","ENSG00000283812",2845,"protein_coding","G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]"
"LPAR4","LPAR4","ENSG00000147145",2846,"protein_coding","lysophosphatidic acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:4478]"
"MCHR1","MCHR1","ENSG00000128285",2847,"protein_coding","melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]"
"GPR25","GPR25","ENSG00000170128",2848,"protein_coding","G protein-coupled receptor 25 [Source:HGNC Symbol;Acc:HGNC:4480]"
"GPR26","GPR26","ENSG00000154478",2849,"protein_coding","G protein-coupled receptor 26 [Source:HGNC Symbol;Acc:HGNC:4481]"
"GPR27","GPR27","ENSG00000170837",2850,"protein_coding","G protein-coupled receptor 27 [Source:HGNC Symbol;Acc:HGNC:4482]"
"GPER1","GPER1","ENSG00000164850",2852,"protein_coding","G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485]"
"GPR31","GPR31","ENSG00000120436",2853,"protein_coding","G protein-coupled receptor 31 [Source:HGNC Symbol;Acc:HGNC:4486]"
"GPR32","GPR32","ENSG00000142511",2854,"protein_coding","G protein-coupled receptor 32 [Source:HGNC Symbol;Acc:HGNC:4487]"
"GPR34","GPR34","ENSG00000171659",2857,"protein_coding","G protein-coupled receptor 34 [Source:HGNC Symbol;Acc:HGNC:4490]"
"GPR35","GPR35","ENSG00000178623",2859,"protein_coding","G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]"
"GPR37","GPR37","ENSG00000170775",2861,"protein_coding","G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]"
"MLNR","MLNR","ENSG00000102539",2862,"protein_coding","motilin receptor [Source:HGNC Symbol;Acc:HGNC:4495]"
"GPR39","GPR39","ENSG00000183840",2863,"protein_coding","G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]"
"FFAR1","FFAR1","ENSG00000126266",2864,"protein_coding","free fatty acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4498]"
"FFAR3","FFAR3","ENSG00000185897",2865,"protein_coding","free fatty acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:4499]"
"GPR42","GPR42","ENSG00000126251",2866,"protein_coding","G protein-coupled receptor 42 [Source:HGNC Symbol;Acc:HGNC:4500]"
"FFAR2","FFAR2","ENSG00000126262",2867,"protein_coding","free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]"
"GRK4","GRK4","ENSG00000125388",2868,"protein_coding","G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]"
"GRK5","GRK5","ENSG00000198873",2869,"protein_coding","G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]"
"GRK6","GRK6","ENSG00000198055",2870,"protein_coding","G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]"
"MKNK2","MKNK2","ENSG00000099875",2872,"protein_coding","MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]"
"GPS1","GPS1","ENSG00000169727",2873,"protein_coding","G protein pathway suppressor 1 [Source:HGNC Symbol;Acc:HGNC:4549]"
"GPS2","GPS2","ENSG00000288325",2874,"protein_coding","G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550]"
"GPT","GPT","ENSG00000167701",2875,"protein_coding","glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]"
"GPX1","GPX1","ENSG00000233276",2876,"protein_coding","glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]"
"GPX2","GPX2","ENSG00000176153",2877,"protein_coding","glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]"
"GPX3","GPX3","ENSG00000211445",2878,"protein_coding","glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]"
"GPX4","GPX4","ENSG00000167468",2879,"protein_coding","glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]"
"GPX5","GPX5","ENSG00000257770",2880,"protein_coding","glutathione peroxidase 5 [Source:HGNC Symbol;Acc:HGNC:4557]"
"GPX7","GPX7","ENSG00000116157",2882,"protein_coding","glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]"
"GRB2","GRB2","ENSG00000177885",2885,"protein_coding","growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]"
"GRB7","GRB7","ENSG00000141738",2886,"protein_coding","growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]"
"GRB10","GRB10","ENSG00000106070",2887,"protein_coding","growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]"
"GRB14","GRB14","ENSG00000115290",2888,"protein_coding","growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]"
"RAPGEF1","RAPGEF1","ENSG00000107263",2889,"protein_coding","Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]"
"GRIA1","GRIA1","ENSG00000155511",2890,"protein_coding","glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]"
"GRIA2","GRIA2","ENSG00000120251",2891,"protein_coding","glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]"
"GRIA3","GRIA3","ENSG00000125675",2892,"protein_coding","glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]"
"GRIA4","GRIA4","ENSG00000152578",2893,"protein_coding","glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574]"
"GRID1","GRID1","ENSG00000182771",2894,"protein_coding","glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]"
"GRID2","GRID2","ENSG00000152208",2895,"protein_coding","glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]"
"GRN","GRN","ENSG00000030582",2896,"protein_coding","granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]"
"GRIK1","GRIK1","ENSG00000171189",2897,"protein_coding","glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]"
"GRIK2","GRIK2","ENSG00000164418",2898,"protein_coding","glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]"
"GRIK3","GRIK3","ENSG00000163873",2899,"protein_coding","glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]"
"GRIK4","GRIK4","ENSG00000149403",2900,"protein_coding","glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]"
"GRIK5","GRIK5","ENSG00000105737",2901,"protein_coding","glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]"
